"日付け","終値","始値","高値","安値","出来高","前日比%"
"2016年08月17日","571.83","574.17","577.94","569.01","5.03K","-0.42%"
"2016年08月16日","574.24","564.64","579.00","564.00","6.22K","1.70%"
"2016年08月15日","564.64","569.41","574.02","562.99","7.65K","-0.84%"
"2016年08月14日","569.44","583.73","583.73","564.00","7.51K","-2.45%"
"2016年08月13日","583.73","585.50","590.02","582.06","6.42K","-0.30%"
"2016年08月12日","585.50","591.27","593.00","584.00","6.29K","-0.98%"
"2016年08月11日","591.27","590.50","599.00","587.75","15.30K","0.17%"
"2016年08月10日","590.28","604.10","614.50","579.00","21.35K","-2.29%"
"2016年08月09日","604.10","604.10","604.10","604.10","-","0.00%"
"2016年08月08日","604.10","604.10","604.10","604.10","-","0.00%"
"2016年08月07日","604.10","604.10","604.10","604.10","-","0.00%"
"2016年08月06日","0.00","0.00","0.00","0.00","-","0.00%"
"2016年08月05日","0.00","0.00","0.00","0.00","-","0.00%"
"2016年08月04日","0.00","0.00","0.00","0.00","-","0.00%"
"2016年08月03日","0.00","0.00","0.00","0.00","-","-100.00%"
"2016年08月02日","604.00","608.29","615.26","595.00","48.65K","-0.66%"
"2016年08月01日","607.99","622.70","627.32","605.01","31.43K","-2.51%"
"2016年07月31日","623.67","654.99","655.12","621.26","33.26K","-4.78%"
"2016年07月30日","654.99","658.34","660.45","651.85","8.09K","-0.51%"
"2016年07月29日","658.34","656.97","660.44","654.54","9.23K","0.59%"
"2016年07月27日","654.51","648.47","657.06","646.60","11.79K","0.93%"
"2016年07月26日","648.47","654.17","657.59","640.59","20.36K","-0.87%"
"2016年07月25日","654.17","661.82","664.39","650.00","14.84K","-1.16%"
"2016年07月24日","661.82","654.03","664.10","650.52","14.02K","1.19%"
"2016年07月23日","654.03","648.04","657.10","644.98","10.00K","0.92%"
"2016年07月22日","648.04","665.01","668.00","639.97","27.84K","-2.55%"
"2016年07月21日","665.01","665.85","668.00","657.58","10.70K","-0.13%"
"2016年07月20日","665.85","675.00","676.00","661.26","12.85K","-1.36%"
"2016年07月19日","675.00","674.30","676.64","666.32","10.95K","0.10%"
"2016年07月18日","674.30","683.20","686.00","666.46","18.08K","-1.30%"
"2016年07月17日","683.20","665.33","689.69","663.61","20.41K","2.69%"
"2016年07月16日","665.33","665.50","669.59","659.13","5.92K","-0.03%"
"2016年07月15日","665.50","659.78","669.56","658.16","9.47K","0.87%"
"2016年07月14日","659.78","653.70","666.00","649.97","20.20K","0.93%"
"2016年07月13日","653.70","667.07","669.87","652.52","17.54K","-2.02%"
"2016年07月12日","667.19","647.95","678.01","645.60","30.22K","2.97%"
"2016年07月11日","647.95","649.72","662.54","643.40","13.92K","-0.27%"
"2016年07月10日","649.72","648.12","651.47","636.92","10.27K","0.25%"
"2016年07月09日","648.11","664.80","664.80","623.99","46.88K","-2.51%"
"2016年07月08日","664.80","640.51","666.60","633.97","32.88K","3.79%"
"2016年07月07日","640.51","677.36","682.00","610.10","75.70K","-5.40%"
"2016年07月06日","677.04","667.80","682.62","667.00","15.92K","1.39%"
"2016年07月05日","667.76","681.34","682.70","659.25","17.40K","-1.99%"
"2016年07月04日","681.34","659.29","684.20","644.46","23.52K","3.34%"
"2016年07月03日","659.29","705.99","706.98","644.40","44.70K","-6.49%"
"2016年07月02日","705.04","674.75","705.35","673.36","29.14K","4.49%"
"2016年07月01日","674.75","674.74","690.58","667.62","41.62K","0.00%"
"2016年06月30日","674.74","639.97","677.46","635.57","40.25K","5.48%"
"2016年06月29日","639.68","646.61","646.61","621.95","33.26K","-1.02%"
"2016年06月28日","646.30","662.20","664.25","632.95","35.75K","-2.40%"
"2016年06月27日","662.20","627.42","662.20","617.29","46.01K","5.54%"
"2016年06月26日","627.42","664.87","667.88","614.33","45.12K","-5.63%"
"2016年06月25日","664.87","665.50","698.00","642.82","55.63K","-0.18%"
"2016年06月24日","666.05","625.80","679.95","625.79","92.36K","6.43%"
"2016年06月23日","625.80","605.58","638.22","555.58","122.98K","3.26%"
"2016年06月22日","606.02","669.00","688.20","588.89","100.50K","-9.40%"
"2016年06月21日","668.88","705.79","715.78","668.88","102.12K","-10.08%"
"2016年06月20日","743.90","767.30","767.70","724.29","49.09K","-3.05%"
"2016年06月19日","767.30","757.60","771.91","740.00","26.70K","1.28%"
"2016年06月18日","757.60","748.66","789.71","721.56","66.95K","1.19%"
"2016年06月17日","748.66","769.45","779.98","703.12","97.38K","-2.70%"
"2016年06月16日","769.45","696.99","778.50","696.99","123.86K","10.41%"
"2016年06月15日","696.88","684.51","699.13","669.21","34.04K","1.81%"
"2016年06月14日","684.51","705.87","705.88","656.51","65.74K","-3.03%"
"2016年06月13日","705.88","671.99","718.99","659.94","117.69K","5.20%"
"2016年06月12日","671.00","614.62","685.00","606.98","116.40K","9.19%"
"2016年06月11日","614.52","580.08","615.00","579.29","28.43K","5.94%"
"2016年06月10日","580.08","575.52","582.42","572.50","16.17K","0.79%"
"2016年06月09日","575.52","583.05","583.65","570.00","21.87K","-1.29%"
"2016年06月08日","583.05","576.88","585.00","571.11","18.08K","1.07%"
"2016年06月07日","576.88","585.22","592.08","561.30","36.12K","-1.43%"
"2016年06月06日","585.22","574.01","588.50","574.00","27.45K","1.95%"
"2016年06月05日","574.00","572.87","586.01","565.23","28.14K","0.23%"
"2016年06月04日","572.67","570.87","593.67","561.50","39.12K","0.32%"
"2016年06月03日","570.87","538.80","579.00","535.78","48.45K","5.95%"
"2016年06月02日","538.80","536.79","543.74","532.38","16.88K","0.37%"
"2016年06月01日","536.79","530.69","546.12","523.80","27.82K","1.15%"
"2016年05月31日","530.69","532.89","546.50","518.00","49.88K","-0.41%"
"2016年05月30日","532.89","531.00","548.37","521.11","32.60K","0.36%"
"2016年05月29日","531.00","527.00","567.00","512.50","83.72K","0.76%"
"2016年05月28日","527.01","472.00","541.01","471.00","74.36K","11.65%"
"2016年05月27日","472.03","453.95","482.28","453.58","59.12K","3.98%"
"2016年05月26日","453.95","449.09","454.70","446.01","9.52K","1.09%"
"2016年05月25日","449.06","445.03","450.36","443.00","12.35K","0.91%"
"2016年05月24日","445.03","443.51","447.83","442.39","8.33K","0.31%"
"2016年05月23日","443.66","437.48","444.40","436.52","7.87K","1.41%"
"2016年05月22日","437.48","440.81","440.99","435.10","7.24K","-0.76%"
"2016年05月21日","440.81","441.57","442.16","436.98","6.22K","-0.17%"
"2016年05月20日","441.57","434.55","443.14","433.01","14.29K","1.51%"
