"日付け","終値","始値","高値","安値","出来高","前日比%"
"2015年11月19日","326.50","335.94","336.39","324.45","18.95K","-2.81%"
"2015年11月18日","335.95","336.29","338.80","328.10","15.61K","-0.10%"
"2015年11月17日","336.29","332.10","342.50","331.05","27.34K","1.25%"
"2015年11月16日","332.14","320.52","335.00","315.22","25.78K","3.45%"
"2015年11月15日","321.07","333.37","336.39","315.00","31.61K","-3.70%"
"2015年11月14日","333.40","338.53","340.72","329.00","20.32K","-1.52%"
"2015年11月13日","338.54","337.61","343.57","326.22","30.12K","0.59%"
"2015年11月12日","336.57","314.25","346.20","314.14","57.48K","7.19%"
"2015年11月11日","314.00","340.20","343.60","300.78","116.71K","-7.70%"
"2015年11月10日","340.20","381.10","383.40","327.02","89.42K","-10.71%"
"2015年11月09日","381.01","374.11","388.84","360.90","38.12K","1.87%"
"2015年11月08日","374.00","384.87","390.32","365.74","30.58K","-2.76%"
"2015年11月07日","384.61","375.56","392.23","371.74","34.27K","2.41%"
"2015年11月06日","375.56","387.94","396.70","351.50","106.74K","-3.20%"
"2015年11月05日","387.96","409.23","449.12","371.00","157.82K","-5.20%"
"2015年11月04日","409.24","405.00","503.39","366.66","274.85K","0.97%"
"2015年11月03日","405.29","365.33","423.88","361.88","171.37K","11.04%"
"2015年11月02日","365.00","330.23","372.48","326.80","70.99K","10.38%"
"2015年11月01日","330.69","316.00","333.49","313.60","25.68K","4.65%"
"2015年10月31日","316.00","328.20","335.43","307.20","42.94K","-3.71%"
"2015年10月30日","328.19","314.88","336.00","313.82","62.92K","4.23%"
"2015年10月29日","314.88","304.50","321.15","301.51","51.16K","3.41%"
"2015年10月28日","304.50","295.29","307.99","295.29","35.57K","3.16%"
"2015年10月27日","295.17","287.22","298.68","287.11","26.75K","2.77%"
"2015年10月26日","287.22","284.70","287.86","282.25","17.19K","0.85%"
"2015年10月25日","284.79","284.19","295.99","281.20","43.57K","0.21%"
"2015年10月24日","284.19","279.21","284.47","279.00","13.33K","1.78%"
"2015年10月23日","279.21","275.83","280.90","275.15","15.81K","1.23%"
"2015年10月22日","275.83","267.80","279.96","267.30","27.29K","3.00%"
"2015年10月21日","267.80","270.99","272.27","264.12","10.60K","-1.17%"
"2015年10月20日","270.97","265.10","273.90","264.46","14.40K","2.23%"
"2015年10月19日","265.05","265.01","268.28","262.39","10.98K","0.00%"
"2015年10月18日","265.04","272.90","274.65","263.32","15.65K","-2.89%"
"2015年10月17日","272.94","263.45","275.12","258.32","42.83K","3.59%"
"2015年10月16日","263.47","255.19","267.83","254.92","21.91K","3.24%"
"2015年10月15日","255.19","253.50","257.49","253.44","10.47K","0.65%"
"2015年10月14日","253.54","251.25","255.93","250.10","10.29K","0.91%"
"2015年10月13日","251.25","246.17","253.40","244.08","16.63K","2.10%"
"2015年10月12日","246.09","247.99","248.45","245.37","5.15K","-0.74%"
"2015年10月11日","247.92","246.01","248.71","244.83","4.87K","0.78%"
"2015年10月10日","246.01","244.82","246.40","243.56","4.20K","0.49%"
"2015年10月09日","244.82","243.00","245.45","242.63","3.64K","0.76%"
"2015年10月08日","242.97","244.00","245.63","242.62","5.98K","-0.50%"
"2015年10月07日","244.20","247.36","247.93","243.50","8.75K","-1.28%"
"2015年10月06日","247.36","242.00","249.01","241.51","16.29K","2.21%"
"2015年10月05日","242.01","239.50","242.67","237.21","12.26K","1.05%"
"2015年10月04日","239.50","239.79","240.93","239.30","2.04K","-0.12%"
"2015年10月03日","239.79","237.86","241.11","237.68","6.22K","0.81%"
"2015年10月02日","237.86","238.48","240.00","237.33","5.61K","-0.26%"
"2015年10月01日","238.48","236.49","240.09","236.20","6.11K","0.84%"
"2015年09月30日","236.49","236.80","238.78","235.12","5.21K","-0.13%"
"2015年09月29日","236.80","240.43","241.50","236.61","9.41K","-1.51%"
"2015年09月28日","240.43","233.37","241.42","233.37","12.49K","3.03%"
"2015年09月27日","233.37","234.63","234.78","233.06","2.61K","-0.54%"
"2015年09月26日","234.63","235.26","235.91","233.80","4.80K","-0.27%"
"2015年09月25日","235.26","234.65","237.64","233.05","9.87K","0.26%"
"2015年09月24日","234.65","230.54","236.25","230.54","15.50K","1.78%"
"2015年09月23日","230.54","231.11","232.98","230.03","5.70K","-0.32%"
"2015年09月22日","231.27","227.22","233.25","224.49","18.74K","1.78%"
"2015年09月21日","227.22","232.12","232.96","226.38","9.26K","-2.11%"
"2015年09月20日","232.12","232.09","233.22","231.40","3.48K","0.01%"
"2015年09月19日","232.09","233.78","234.18","231.43","4.96K","-0.72%"
"2015年09月18日","233.78","233.61","236.20","232.53","8.68K","0.07%"
"2015年09月17日","233.61","228.99","235.70","228.99","11.26K","2.02%"
"2015年09月16日","228.99","230.93","232.12","227.35","8.81K","-0.84%"
"2015年09月15日","230.93","230.89","232.93","229.51","6.85K","0.02%"
"2015年09月14日","230.89","230.96","233.78","228.41","9.71K","-0.03%"
"2015年09月13日","230.96","235.77","236.85","228.95","12.44K","-2.04%"
"2015年09月12日","235.77","240.60","241.00","235.33","9.85K","-2.01%"
"2015年09月11日","240.60","239.49","242.87","239.40","7.12K","0.46%"
"2015年09月10日","239.49","238.95","241.90","237.01","10.81K","0.23%"
"2015年09月09日","238.95","244.20","245.57","238.50","14.37K","-2.15%"
"2015年09月08日","244.20","240.85","247.68","240.27","16.34K","1.39%"
"2015年09月07日","240.85","240.97","243.00","239.03","6.95K","-0.05%"
"2015年09月06日","240.97","235.84","246.54","235.50","20.52K","2.18%"
"2015年09月05日","235.84","230.89","239.71","230.01","12.20K","2.14%"
"2015年09月04日","230.89","227.25","231.62","227.08","10.81K","1.60%"
"2015年09月03日","227.25","229.71","229.88","226.24","6.91K","-1.07%"
"2015年09月02日","229.71","228.24","231.76","226.52","9.01K","0.64%"
"2015年09月01日","228.24","231.35","232.33","226.57","9.83K","-1.34%"
"2015年08月31日","231.35","229.99","233.69","225.31","11.02K","0.59%"
"2015年08月30日","229.99","230.75","233.49","225.76","8.70K","-0.33%"
"2015年08月29日","230.75","231.83","233.94","227.16","10.10K","-0.47%"
"2015年08月28日","231.83","225.80","237.31","220.15","27.31K","2.67%"
"2015年08月27日","225.80","226.12","229.22","224.00","11.63K","-0.18%"
"2015年08月26日","226.21","222.66","232.18","220.11","23.85K","1.59%"
"2015年08月25日","222.66","210.50","227.89","198.00","69.53K","5.78%"
"2015年08月24日","210.50","228.10","228.64","208.53","53.50K","-7.89%"
"2015年08月23日","228.53","230.27","232.88","225.59","12.01K","-0.76%"
"2015年08月22日","230.27","232.17","234.63","221.97","20.89K","-0.82%"
"2015年08月21日","232.17","235.54","236.43","230.52","13.00K","-1.43%"
"2015年08月20日","235.54","226.32","237.81","226.27","26.46K","4.11%"
"2015年08月19日","226.24","193.96","239.44","193.96","93.88K","23.62%"
"2015年08月18日","183.01","258.49","258.50","171.00","72.15K","-29.20%"
"2015年08月17日","258.49","259.90","262.01","257.50","9.90K","-0.54%"
"2015年08月16日","259.90","262.20","262.90","256.50","27.30K","-0.85%"
"2015年08月15日","262.14","266.32","267.76","260.96","10.49K","-1.48%"
"2015年08月14日","266.09","264.47","268.88","262.15","13.43K","0.61%"
"2015年08月13日","264.47","267.09","268.00","263.33","12.91K","-0.98%"
"2015年08月12日","267.09","271.96","273.75","265.80","16.28K","-1.79%"
"2015年08月11日","271.96","265.10","271.97","264.81","12.67K","2.59%"
"2015年08月10日","265.10","265.58","267.68","262.17","10.70K","-0.18%"
"2015年08月09日","265.58","261.34","267.60","260.73","21.20K","1.62%"
"2015年08月08日","261.34","280.19","280.31","260.62","36.82K","-6.70%"
"2015年08月07日","280.12","279.08","281.00","276.07","12.44K","0.37%"
"2015年08月06日","279.08","282.61","282.61","278.08","10.15K","-1.25%"
"2015年08月05日","282.61","285.47","285.94","281.61","7.69K","-1.00%"
"2015年08月04日","285.47","281.28","285.94","281.28","12.06K","1.49%"
"2015年08月03日","281.27","282.44","287.00","279.70","14.67K","-0.43%"
"2015年08月02日","282.49","280.31","283.29","276.28","11.77K","0.77%"
"2015年08月01日","280.33","284.45","284.99","276.54","12.28K","-1.45%"
"2015年07月31日","284.45","288.21","289.85","282.00","14.63K","-1.30%"
"2015年07月30日","288.21","289.92","290.98","285.00","12.16K","-0.59%"
"2015年07月29日","289.92","295.23","295.38","286.59","15.75K","-1.80%"
"2015年07月28日","295.23","294.84","298.89","293.61","14.44K","0.13%"
"2015年07月27日","294.84","293.01","298.74","286.00","25.41K","0.62%"
"2015年07月26日","293.01","289.36","294.50","288.15","9.30K","1.26%"
"2015年07月25日","289.36","288.60","292.35","286.40","11.82K","0.26%"
"2015年07月24日","288.60","276.48","289.93","276.02","24.08K","4.37%"
"2015年07月23日","276.51","277.99","278.44","275.56","5.44K","-0.53%"
"2015年07月22日","277.99","275.78","278.38","274.50","11.13K","0.80%"
"2015年07月21日","275.78","280.20","282.08","275.25","13.40K","-1.62%"
"2015年07月20日","280.31","275.03","280.46","273.50","11.82K","1.92%"
"2015年07月19日","275.03","277.25","279.18","274.69","7.94K","-0.80%"
"2015年07月18日","277.25","279.85","283.33","276.12","15.40K","-0.93%"
"2015年07月17日","279.85","278.94","281.50","272.08","25.52K","0.33%"
"2015年07月16日","278.93","285.43","294.30","275.24","53.00K","-2.28%"
"2015年07月15日","285.44","286.87","294.38","283.53","21.92K","-0.50%"
"2015年07月14日","286.87","292.65","297.13","286.11","23.27K","-1.98%"
"2015年07月13日","292.65","311.15","312.00","284.51","74.07K","-5.94%"
"2015年07月12日","311.12","300.57","316.02","300.50","61.47K","8.52%"
"2015年07月10日","286.70","269.22","292.66","268.59","68.25K","6.49%"
"2015年07月09日","269.22","269.97","272.80","267.98","24.11K","-0.59%"
"2015年07月08日","270.83","269.50","271.40","267.40","27.02K","2.00%"
"2015年07月07日","265.51","268.84","268.90","263.34","45.25K","-3.39%"
"2015年07月06日","274.83","270.10","276.55","268.15","61.92K","3.63%"
"2015年07月05日","265.20","260.58","265.27","258.00","14.57K","1.77%"
"2015年07月04日","260.58","256.09","261.93","253.58","9.77K","1.77%"
"2015年07月03日","256.05","254.52","256.90","252.11","11.55K","0.60%"
"2015年07月02日","254.52","258.10","262.58","253.00","17.29K","-1.39%"
"2015年07月01日","258.10","262.89","264.78","253.51","21.83K","-1.82%"
"2015年06月30日","262.89","256.69","268.86","254.72","47.01K","2.42%"
"2015年06月29日","256.69","248.71","257.70","248.57","34.74K","3.20%"
"2015年06月28日","248.72","251.61","252.06","247.25","12.89K","-1.15%"
"2015年06月27日","251.61","243.29","251.77","242.60","18.14K","3.42%"
"2015年06月26日","243.29","242.05","243.90","240.64","10.14K","0.51%"
"2015年06月25日","242.05","239.80","242.99","239.50","9.22K","0.94%"
"2015年06月24日","239.80","244.25","244.25","239.50","15.32K","-1.82%"
"2015年06月23日","244.25","246.67","247.35","242.33","11.61K","-0.98%"
"2015年06月22日","246.67","244.25","247.99","243.50","18.48K","0.99%"
"2015年06月21日","244.25","245.38","245.69","241.09","8.15K","-0.46%"
"2015年06月20日","245.38","244.58","245.90","240.05","24.30K","0.33%"
"2015年06月19日","244.58","249.51","252.12","243.73","23.64K","-1.98%"
"2015年06月18日","249.51","248.95","253.70","243.00","27.90K","0.22%"
"2015年06月17日","248.95","252.08","259.10","246.11","47.81K","-1.24%"
"2015年06月16日","252.08","236.98","253.90","236.00","50.14K","6.37%"
"2015年06月15日","236.98","233.54","238.16","233.35","19.15K","1.47%"
"2015年06月14日","233.54","232.87","235.44","232.51","8.29K","0.29%"
"2015年06月13日","232.87","229.44","233.50","228.40","11.07K","1.49%"
"2015年06月12日","229.44","230.00","231.34","229.12","9.92K","-0.17%"
"2015年06月11日","229.82","228.60","230.70","228.60","9.41K","0.53%"
"2015年06月10日","228.60","229.06","229.95","227.50","10.79K","-0.20%"
"2015年06月09日","229.05","228.76","232.02","227.79","16.32K","0.13%"
"2015年06月08日","228.76","223.26","230.63","223.26","28.89K","2.46%"
"2015年06月07日","223.26","225.66","226.67","222.29","17.35K","-1.06%"
"2015年06月06日","225.65","224.51","226.85","223.90","6.73K","0.51%"
"2015年06月05日","224.51","223.24","229.23","222.69","17.66K","0.57%"
"2015年06月04日","223.24","225.11","225.77","222.64","11.04K","-0.83%"
"2015年06月03日","225.11","224.68","227.00","222.26","17.15K","0.19%"
"2015年06月02日","224.68","222.00","226.00","220.97","16.50K","1.21%"
"2015年06月01日","222.00","228.70","230.89","219.75","31.97K","-2.93%"
"2015年05月31日","228.70","232.54","232.69","227.13","11.67K","-1.65%"
"2015年05月30日","232.54","236.52","236.73","230.68","14.70K","-1.68%"
"2015年05月29日","236.52","236.86","237.16","235.02","6.85K","-0.14%"
"2015年05月28日","236.86","236.85","237.50","235.92","5.85K","0.00%"
"2015年05月27日","236.85","237.36","239.30","235.56","9.11K","-0.21%"
"2015年05月26日","237.36","237.10","238.50","235.27","8.82K","0.11%"
"2015年05月25日","237.10","240.96","241.12","236.10","8.68K","-1.60%"
"2015年05月24日","240.95","238.81","242.98","238.55","7.19K","0.90%"
"2015年05月23日","238.81","240.97","241.18","237.56","8.51K","-0.90%"
"2015年05月22日","240.97","235.27","241.83","234.59","22.83K","2.42%"
"2015年05月21日","235.27","234.24","236.49","233.92","10.51K","0.44%"
"2015年05月20日","234.24","231.70","235.24","231.56","11.45K","1.10%"
"2015年05月19日","231.70","232.82","235.70","231.19","5.97K","-0.48%"
"2015年05月18日","232.82","236.15","237.25","229.00","14.19K","-1.44%"
"2015年05月17日","236.22","235.70","238.02","235.62","4.80K","0.22%"
"2015年05月16日","235.70","237.30","237.58","234.01","6.05K","-0.67%"
"2015年05月15日","237.30","236.68","238.92","233.88","9.55K","0.26%"
"2015年05月14日","236.68","235.70","238.20","232.10","19.41K","0.37%"
"2015年05月13日","235.80","241.92","245.00","234.34","28.22K","-2.47%"
"2015年05月12日","241.78","242.47","244.39","240.86","13.11K","-0.28%"
"2015年05月11日","242.47","240.73","245.49","238.50","16.05K","0.79%"
"2015年05月10日","240.57","242.54","245.88","238.83","11.87K","-0.81%"
"2015年05月09日","242.54","244.50","249.10","240.10","19.38K","-0.80%"
"2015年05月08日","244.50","237.30","248.48","236.20","31.13K","3.04%"
"2015年05月07日","237.29","229.27","239.78","227.82","27.41K","3.50%"
"2015年05月06日","229.27","235.87","236.75","227.33","47.41K","-2.80%"
"2015年05月05日","235.87","238.54","239.45","231.05","26.12K","-1.12%"
"2015年05月04日","238.54","240.57","243.60","237.00","24.76K","-0.90%"
"2015年05月03日","240.70","234.81","243.73","235.66","19.11K","2.51%"
"2015年05月02日","234.81","231.78","235.79","231.78","9.04K","1.31%"
"2015年05月01日","231.78","236.11","239.19","231.31","16.62K","-1.83%"
"2015年04月30日","236.11","225.23","240.20","224.65","41.29K","4.83%"
"2015年04月29日","225.23","225.30","227.78","222.67","12.20K","-0.03%"
"2015年04月28日","225.30","227.13","228.05","222.22","17.29K","-1.05%"
"2015年04月27日","227.68","219.70","232.00","218.24","35.14K","3.63%"
"2015年04月26日","219.70","226.10","221.48","214.00","40.92K","-2.83%"
"2015年04月25日","226.10","231.38","232.70","225.78","13.38K","-2.28%"
"2015年04月24日","231.38","236.01","236.20","228.70","22.53K","-1.96%"
"2015年04月23日","236.01","234.14","236.98","233.00","8.81K","0.80%"
"2015年04月22日","234.14","236.96","238.99","232.42","22.86K","-0.70%"
"2015年04月21日","235.80","224.21","236.20","224.19","30.99K","5.17%"
"2015年04月20日","224.21","222.16","227.00","221.50","19.97K","0.90%"
"2015年04月19日","222.21","223.08","226.83","222.10","17.64K","-0.39%"
"2015年04月18日","223.08","222.40","224.16","219.94","11.90K","0.31%"
"2015年04月17日","222.40","228.47","228.98","219.61","27.14K","-2.66%"
"2015年04月16日","228.47","223.98","230.00","223.01","29.32K","2.00%"
"2015年04月15日","223.98","220.16","224.00","219.01","23.60K","1.72%"
"2015年04月14日","220.19","225.00","225.75","216.37","40.75K","-2.14%"
"2015年04月13日","225.00","236.38","237.70","220.25","47.16K","-4.81%"
"2015年04月12日","236.38","236.86","238.70","232.82","10.17K","-0.20%"
"2015年04月11日","236.86","236.12","240.00","233.76","17.64K","0.31%"
"2015年04月10日","236.12","243.58","243.74","230.76","37.33K","-3.06%"
"2015年04月09日","243.58","244.92","246.79","236.52","22.75K","-0.55%"
"2015年04月08日","244.92","253.70","254.99","243.05","39.68K","-3.46%"
"2015年04月07日","253.71","255.61","257.90","253.03","10.53K","-0.74%"
"2015年04月06日","255.61","260.50","262.43","253.72","20.82K","-1.88%"
"2015年04月05日","260.50","253.60","261.25","251.55","23.93K","2.72%"
"2015年04月04日","253.60","254.24","255.69","250.39","9.42K","-0.25%"
"2015年04月03日","254.23","253.23","256.42","250.70","28.36K","0.39%"
"2015年04月02日","253.23","246.93","254.92","244.55","26.22K","2.55%"
"2015年04月01日","246.93","244.51","248.53","239.50","23.54K","1.06%"
"2015年03月31日","244.33","247.93","248.80","242.00","22.44K","-1.45%"
"2015年03月30日","247.93","242.74","248.71","246.95","30.64K","2.26%"
"2015年03月29日","242.44","252.95","250.00","239.52","31.54K","-4.15%"
"2015年03月28日","252.95","246.50","255.42","246.50","17.80K","2.62%"
"2015年03月27日","246.50","249.19","250.45","245.27","22.46K","-1.08%"
"2015年03月26日","249.19","246.29","254.98","246.28","33.27K","1.33%"
"2015年03月25日","245.92","246.00","250.00","235.70","54.42K","-0.03%"
"2015年03月24日","246.00","267.23","268.39","241.50","62.94K","-7.94%"
"2015年03月23日","267.23","268.82","271.47","262.00","23.56K","-0.59%"
"2015年03月22日","268.82","260.47","270.80","259.82","18.25K","3.21%"
"2015年03月21日","260.47","262.19","262.99","255.52","15.11K","-0.66%"
"2015年03月20日","262.19","261.98","266.99","259.36","16.27K","0.13%"
"2015年03月19日","261.86","257.30","267.89","248.07","78.90K","1.77%"
"2015年03月18日","257.30","285.12","285.24","248.98","89.46K","-9.80%"
"2015年03月17日","285.25","291.22","292.83","283.00","22.13K","-2.05%"
"2015年03月16日","291.22","286.90","295.13","289.32","22.32K","1.51%"
"2015年03月15日","286.90","282.60","287.78","283.40","13.62K","1.52%"
"2015年03月14日","282.60","283.23","287.50","281.36","26.05K","-0.24%"
"2015年03月13日","283.28","295.55","295.90","282.15","43.54K","-4.15%"
"2015年03月12日","295.56","296.70","298.80","292.37","27.18K","-0.38%"
"2015年03月11日","296.70","292.64","298.74","291.06","26.09K","1.37%"
"2015年03月10日","292.70","291.00","303.80","290.00","67.18K","0.57%"
"2015年03月09日","291.03","275.59","295.00","278.98","62.86K","5.60%"
"2015年03月08日","275.59","276.97","278.68","272.00","14.62K","-0.50%"
"2015年03月07日","276.97","273.36","280.00","270.58","22.14K","1.38%"
"2015年03月06日","273.20","277.69","277.90","269.68","40.56K","-1.62%"
"2015年03月05日","277.69","273.33","284.50","262.90","66.63K","1.60%"
"2015年03月04日","273.33","283.75","285.99","267.38","71.03K","-3.67%"
"2015年03月03日","283.75","277.30","290.32","267.95","82.29K","2.33%"
"2015年03月02日","277.30","262.40","279.60","259.22","66.41K","5.68%"
"2015年03月01日","262.40","255.70","266.00","245.79","46.96K","2.62%"
"2015年02月28日","255.70","255.05","257.38","251.25","17.59K","0.29%"
"2015年02月27日","254.96","236.93","262.58","236.65","69.50K","7.61%"
"2015年02月26日","236.93","237.99","238.33","233.79","18.69K","-0.45%"
"2015年02月25日","237.99","239.73","240.83","235.56","13.56K","-0.73%"
"2015年02月24日","239.73","239.40","240.99","236.70","16.66K","0.14%"
"2015年02月23日","239.40","236.50","240.99","232.61","23.92K","1.23%"
"2015年02月22日","236.50","245.54","247.78","232.40","33.48K","-3.69%"
"2015年02月21日","245.55","244.50","247.68","243.28","16.44K","0.43%"
"2015年02月20日","244.50","240.00","248.32","238.95","31.65K","1.79%"
"2015年02月19日","240.20","236.30","243.42","235.02","23.47K","1.65%"
"2015年02月18日","236.30","244.00","244.98","231.72","39.24K","-3.16%"
"2015年02月17日","244.00","233.50","246.25","231.51","41.39K","4.45%"
"2015年02月16日","233.60","235.88","243.29","229.00","47.11K","-0.97%"
"2015年02月15日","235.88","257.01","268.34","228.22","103.42K","-8.29%"
"2015年02月14日","257.20","236.13","261.20","235.51","80.10K","8.96%"
"2015年02月13日","236.06","222.55","242.48","221.46","68.09K","6.16%"
"2015年02月12日","222.37","219.96","223.17","217.80","20.02K","1.17%"
"2015年02月11日","219.79","221.39","223.29","218.14","19.23K","-0.49%"
"2015年02月10日","220.87","221.13","222.00","215.00","5.40K","-0.10%"
"2015年02月09日","221.10","224.01","225.00","216.45","6.55K","-1.29%"
"2015年02月08日","223.99","229.16","231.60","220.00","4.30K","-2.19%"
"2015年02月07日","229.00","223.20","230.50","222.67","4.10K","2.60%"
"2015年02月06日","223.20","216.84","226.64","216.03","5.69K","2.97%"
"2015年02月05日","216.76","227.11","228.90","215.00","7.41K","-4.56%"
"2015年02月04日","227.11","228.77","230.99","221.50","9.15K","-0.64%"
"2015年02月03日","228.58","237.01","243.90","225.32","8.32K","-3.89%"
"2015年02月02日","237.83","228.39","240.10","220.89","7.45K","3.86%"
"2015年02月01日","228.99","218.67","233.79","210.00","7.23K","4.82%"
"2015年01月31日","218.45","229.00","234.67","217.11","5.60K","-4.64%"
"2015年01月30日","229.07","235.00","244.59","227.89","5.77K","-2.54%"
"2015年01月29日","235.03","235.89","242.00","221.14","6.64K","-0.45%"
"2015年01月28日","236.09","263.96","265.99","228.50","5.34K","-10.45%"
"2015年01月27日","263.65","274.73","278.47","244.03","1.63K","-3.95%"
"2015年01月26日","274.48","262.78","322.72","241.43","5.18K","7.84%"
"2015年01月25日","254.53","248.02","256.26","245.32","0.48K","6.05%"
"2015年01月24日","240.00","215.00","250.58","215.00","0.00K","2.13%"
"2015年01月23日","235.00","230.00","235.00","215.00","-","3.84%"
"2015年01月22日","226.32","245.50","257.73","216.59","0.00K","0.36%"
"2015年01月21日","225.51","219.00","225.51","219.00","-","3.44%"
"2015年01月20日","218.00","215.00","218.00","208.00","-","2.25%"
"2015年01月19日","213.21","211.23","216.22","208.84","1.19K","1.60%"
"2015年01月18日","209.85","202.90","218.26","197.05","1.97K","4.29%"
"2015年01月17日","201.23","207.16","211.03","198.22","2.64K","-2.64%"
"2015年01月16日","206.68","215.98","225.00","200.00","1.56K","-5.07%"
"2015年01月15日","217.72","181.09","234.51","176.52","3.30K","18.87%"
"2015年01月14日","183.16","230.28","230.48","164.95","9.67K","-20.31%"
"2015年01月13日","229.84","267.33","267.63","222.49","13.52K","-14.12%"
"2015年01月12日","267.62","267.20","281.05","265.49","2.56K","0.54%"
"2015年01月11日","266.19","274.77","279.96","265.00","1.42K","-3.22%"
"2015年01月10日","275.04","292.41","292.41","271.00","1.11K","-6.08%"
"2015年01月09日","292.83","285.38","295.57","282.99","1.26K","2.52%"
"2015年01月08日","285.64","296.20","296.20","285.64","1.31K","-3.82%"
"2015年01月07日","297.00","286.10","303.83","285.00","1.53K","4.07%"
"2015年01月06日","285.39","273.24","287.83","268.52","6.86K","4.46%"
"2015年01月05日","273.20","261.00","276.46","260.47","2.68K","5.57%"
"2015年01月04日","258.78","281.99","288.90","258.78","2.38K","-8.23%"
"2015年01月03日","281.99","314.81","314.81","281.99","1.30K","-10.51%"
"2015年01月02日","315.11","313.60","316.01","313.00","1.32K","0.40%"
"2015年01月01日","313.85","317.51","317.51","312.88","0.93K","-0.99%"
"2014年12月31日","317.00","309.00","317.60","308.56","1.86K","2.66%"
"2014年12月30日","308.79","314.36","315.30","307.93","1.51K","-1.00%"
"2014年12月29日","311.92","319.55","321.49","311.92","1.35K","-1.77%"
"2014年12月28日","317.53","317.27","318.59","312.03","0.68K","0.51%"
"2014年12月27日","315.91","327.12","327.12","312.74","1.10K","-3.83%"
"2014年12月26日","328.49","319.20","329.84","317.53","2.99K","2.97%"
"2014年12月25日","319.00","322.57","323.08","317.89","0.74K","-1.17%"
"2014年12月24日","322.79","333.65","334.25","322.79","1.16K","-3.04%"
"2014年12月23日","332.91","329.99","335.16","326.07","2.95K","1.18%"
"2014年12月22日","329.02","318.20","329.22","317.50","1.32K","3.72%"
"2014年12月21日","317.21","328.43","328.43","316.91","1.54K","-3.60%"
"2014年12月20日","329.07","315.77","329.99","314.92","1.23K","4.22%"
"2014年12月19日","315.74","309.28","317.00","305.98","2.33K","2.43%"
"2014年12月18日","308.26","318.65","321.07","303.62","1.92K","-3.12%"
"2014年12月17日","318.19","333.42","337.02","315.01","3.66K","-3.76%"
"2014年12月16日","330.61","348.14","348.14","330.61","0.05K","-4.78%"
"2014年12月15日","347.19","354.12","354.12","346.30","2.36K","-1.55%"
"2014年12月14日","352.67","350.64","356.75","346.99","1.16K","0.51%"
"2014年12月13日","350.88","352.64","352.64","348.33","0.75K","-0.56%"
"2014年12月12日","352.84","350.38","356.99","349.85","2.32K","0.80%"
"2014年12月11日","350.04","346.63","363.31","343.62","0.87K","0.90%"
"2014年12月10日","346.92","354.00","356.22","343.53","3.12K","-1.96%"
"2014年12月09日","353.85","363.23","364.36","345.52","0.86K","-2.60%"
"2014年12月08日","363.31","375.19","375.59","361.70","1.21K","-2.97%"
"2014年12月07日","374.43","373.91","376.72","370.91","0.91K","0.45%"
"2014年12月06日","372.77","377.97","379.12","371.07","0.70K","-1.49%"
"2014年12月05日","378.39","368.75","380.57","367.24","0.93K","2.20%"
"2014年12月04日","370.26","375.78","378.88","364.81","1.16K","-1.46%"
"2014年12月03日","375.74","381.40","383.11","374.25","1.09K","-1.64%"
"2014年12月02日","382.01","377.39","382.56","376.94","2.04K","1.17%"
"2014年12月01日","377.60","376.68","380.00","374.89","1.57K","0.23%"
"2014年11月30日","376.72","374.66","380.31","373.06","1.51K","0.60%"
"2014年11月29日","374.49","375.25","383.00","372.00","1.28K","-0.29%"
"2014年11月28日","375.57","369.87","380.28","359.52","0.89K","1.62%"
"2014年11月27日","369.57","369.28","373.48","368.14","0.63K","0.46%"
"2014年11月26日","367.87","377.03","378.30","365.78","1.21K","-2.12%"
"2014年11月25日","375.82","373.54","390.00","373.08","3.84K","0.72%"
"2014年11月24日","373.15","365.25","386.99","327.79","1.71K","3.49%"
"2014年11月23日","360.57","347.49","360.57","346.74","0.91K","4.11%"
"2014年11月22日","346.35","350.91","360.25","346.09","0.80K","-0.85%"
"2014年11月21日","349.33","353.50","356.03","346.10","1.81K","-1.84%"
"2014年11月20日","355.88","380.46","380.61","353.39","1.77K","-6.14%"
"2014年11月19日","379.16","373.09","381.64","372.12","2.89K","2.48%"
"2014年11月18日","370.00","388.63","390.87","370.00","1.07K","-4.53%"
"2014年11月17日","387.56","388.89","407.00","376.00","1.31K","-0.17%"
"2014年11月16日","388.21","380.56","391.89","380.25","0.86K","3.11%"
"2014年11月15日","376.51","400.48","406.29","370.97","0.71K","-5.65%"
"2014年11月14日","399.07","410.00","414.62","385.00","1.11K","-4.85%"
"2014年11月13日","419.42","428.34","445.00","387.55","5.05K","0.37%"
"2014年11月12日","417.87","375.00","431.11","375.00","1.26K","13.86%"
"2014年11月11日","367.00","366.53","367.21","361.32","0.97K","-0.26%"
"2014年11月10日","367.97","359.98","372.50","355.00","0.84K","2.21%"
"2014年11月09日","360.00","343.69","360.00","342.52","1.03K","4.35%"
"2014年11月08日","344.99","341.99","344.99","340.50","0.89K","1.02%"
"2014年11月07日","341.50","348.50","350.00","341.07","1.19K","-2.01%"
"2014年11月06日","348.50","337.77","349.68","335.50","0.97K","3.24%"
"2014年11月05日","337.55","330.75","341.00","321.00","2.74K","3.26%"
"2014年11月04日","326.90","323.56","330.17","321.75","0.89K","1.03%"
"2014年11月03日","323.56","324.27","335.50","323.25","3.09K","0.33%"
"2014年11月02日","322.50","327.00","329.41","321.27","1.23K","-1.43%"
"2014年11月01日","327.18","337.66","338.43","321.70","0.91K","-2.91%"
