timestamp,open,high,low,close,volumefrom
2011/8/27 9:00,700.99,700.99,700.99,700.99,1
2011/8/28 9:00,700.99,700.99,700.99,700.99,0
2011/8/29 9:00,700.99,700.99,700.99,700.99,0
2011/8/30 9:00,700.99,690.56,680,680,28.78
2011/8/31 9:00,680,670,650,650,24.54
2011/9/1 9:00,650,650,650,650,0
2011/9/2 9:00,650,669.72,666.89,669.72,3
2011/9/3 9:00,669.72,669.72,669.72,669.72,0
2011/9/4 9:00,669.72,669.72,669.72,669.72,0
2011/9/5 9:00,669.72,669.72,669.72,669.72,0
2011/9/6 9:00,669.72,669.72,669.72,669.72,0
2011/9/7 9:00,669.72,566.25,541.24,566.25,1.95
2011/9/8 9:00,566.25,566.25,566.25,566.25,0
2011/9/9 9:00,566.25,386.12,386.12,386.12,51
2011/9/10 9:00,386.12,386.12,386.12,386.12,0
2011/9/11 9:00,386.12,386.12,386.12,386.12,0
2011/9/12 9:00,386.12,386.12,386.12,386.12,0
2011/9/13 9:00,386.12,386.12,386.12,386.12,0
2011/9/14 9:00,386.12,386.12,386.12,386.12,0
2011/9/15 9:00,386.12,386.12,386.12,386.12,0
2011/9/16 9:00,386.12,386.12,386.12,386.12,0
2011/9/17 9:00,386.12,386.12,386.12,386.12,0
2011/9/18 9:00,386.12,386.12,386.12,386.12,0
2011/9/19 9:00,386.12,386.12,386.12,386.12,0
2011/9/20 9:00,386.12,386.12,386.12,386.12,0
2011/9/21 9:00,386.12,478.49,478.48,478.49,15
2011/9/22 9:00,478.49,439.64,429.06,429.06,1162.4
2011/9/23 9:00,429.06,429.06,429.06,429.06,0
2011/9/24 9:00,429.06,429.06,429.06,429.06,0
2011/9/25 9:00,429.06,429.06,429.06,429.06,0
2011/9/26 9:00,429.06,429.06,429.06,429.06,0
2011/9/27 9:00,429.06,429.06,429.06,429.06,0
2011/9/28 9:00,429.06,429.06,429.06,429.06,0
2011/9/29 9:00,429.06,429.06,429.06,429.06,0
2011/9/30 9:00,429.06,429.06,429.06,429.06,0
2011/10/1 9:00,429.06,429.06,429.06,429.06,0
2011/10/2 9:00,429.06,429.06,429.06,429.06,0
2011/10/3 9:00,429.06,429.06,429.06,429.06,0
2011/10/4 9:00,429.06,429.06,429.06,429.06,0
2011/10/5 9:00,429.06,429.06,429.06,429.06,0
2011/10/6 9:00,429.06,429.06,429.06,429.06,0
