0.001	0.1	2146718.4633167963	2146717.963316733
0.002	0.1	2073051.843013011	2073051.3430129476
0.003	0.1	1865172.8412362419	1865172.3412361746
0.004	0.1	4026042.6563000088	4026042.15629998
0.005	0.1	23954857.988074474	23954857.488074467
0.006	0.1	141169237.40421242	141169236.9042123
0.007	0.1	858909487.7198776	858909487.2198763
0.008	0.1	5434488707.621597	5434488707.12161
0.009	0.1	35349279846.62061	35349279846.12062
0.01	0.1	233988149789.23965	233988149788.7398
0.01	0.01	4927822751038.768	4927822751038.281
0.01	0.02	7363777637210.786	7363777637210.285
0.01	0.03	9105860890561.752	9105860890561.246
0.01	0.04	9333029805535.375	9333029805534.865
0.01	0.05	7942988531038.363	7942988531037.8545
0.01	0.06	5623826416881.754	5623826416881.268
0.01	0.07	3319116770232.8535	3319116770232.3564
0.01	0.08	1636219600874.739	1636219600874.2395
0.01	0.09	675254009980.578	675254009980.077
0.01	0.1	233988149789.23965	233988149788.7398
0.001	0.01	2002004.7605384297	2002004.2605383697
0.002	0.01	1412335.1604635227	1412334.6604634328
0.003	0.01	5421104.258950826	5421103.758950793
0.004	0.01	43386032.97644434	43386032.476444386
0.005	0.01	299367455.956704	299367455.45670444
0.006	0.01	2050909445.8179095	2050909445.3179107
0.007	0.01	14183882488.430079	14183882487.930056
0.008	0.01	99008378372.75125	99008378372.25136
0.009	0.01	696355501753.0392	696355501752.5382
0.01	0.01	4927822751038.768	4927822751038.281
0.001	0.02	1926860.8936923174	1926860.393692256
0.002	0.02	1311741.2382514293	1311740.7382513317
0.003	0.02	9042762.1690464	9042761.669046396
0.004	0.02	67065926.31154227	67065925.81154225
0.005	0.02	456530398.4854937	456530397.985493
0.006	0.02	3112513778.3535137	3112513777.8535085
0.007	0.02	21442674769.15039	21442674768.65038
0.008	0.02	149098533571.18542	149098533570.6851
0.009	0.02	1044576607132.7657	1044576607132.266
0.01	0.02	7363777637210.786	7363777637210.285
0.001	0.03	1870207.7636691602	1870207.2636690913
0.002	0.03	1459748.3545533905	1459747.8545533058
0.003	0.03	12029839.832056385	12029839.332056358
0.004	0.03	85887843.70294957	85887843.20294966
0.005	0.03	578854165.0364	578854164.536401
0.006	0.03	3923915160.4802203	3923915159.9802117
0.007	0.03	26896603413.89063	26896603413.390648
0.008	0.03	186110410341.52563	186110410341.02588
0.009	0.03	1297674205908.344	1297674205907.8455
0.01	0.03	9105860890561.752	9105860890561.246
0.001	0.04	1853991.2086576545	1853990.7086575888
0.002	0.04	1612889.5483981487	1612889.0483980735
0.003	0.04	13104240.013160545	13104239.513160542
0.004	0.04	91615877.97317623	91615877.47317621
0.005	0.04	611520773.7937071	611520773.2937068
0.006	0.04	4115915455.185772	4115915454.6857653
0.007	0.04	28036680274.1336	28036680273.63359
0.008	0.04	192864649835.18573	192864649834.6854
0.009	0.04	1337237627728.5159	1337237627728.0176
0.01	0.04	9333029805535.375	9333029805534.865
0.001	0.05	1883096.6853479824	1883096.185347917
0.002	0.05	1616447.3218533394	1616446.8218532584
0.003	0.05	11829323.593386512	11829323.09338649
0.004	0.05	81733449.2170916	81733448.71709162
0.005	0.05	539602803.4927849	539602802.9927856
0.006	0.05	3599225907.3272142	3599225906.827218
0.007	0.05	24330486370.77267	24330486370.27264
0.008	0.05	166221719645.5762	166221719645.07642
0.009	0.05	1145094017621.5745	1145094017621.0745
0.01	0.05	7942988531038.363	7942988531037.8545
0.001	0.06	1944096.1433583878	1944095.6433583233
0.002	0.06	1571533.160260081	1571532.66026
0.003	0.06	8907505.539522676	8907505.039522668
0.004	0.06	61266451.08281901	61266450.58281903
0.005	0.06	399072551.12531203	399072550.62531143
0.006	0.06	2630625440.6383133	2630625440.138317
0.007	0.06	17615191378.348648	17615191377.848656
0.008	0.06	119376229047.98367	119376229047.48343
0.009	0.06	816369492180.611	816369492180.1123
0.01	0.06	5623826416881.754	5623826416881.268
0.001	0.07	2014890.7356142178	2014890.235614156
0.002	0.07	1638377.0877637658	1638376.5877636902
0.003	0.07	5637618.261832584	5637617.761832555
0.004	0.07	38823061.8469478	38823061.34694784
0.005	0.07	248680508.6320226	248680508.13202214
0.006	0.07	1612932877.551799	1612932877.0517983
0.007	0.07	10668283274.674202	10668283274.17422
0.008	0.07	71596577954.63861	71596577954.13843
0.009	0.07	485531370724.07086	485531370723.57135
0.01	0.07	3319116770232.8535	3319116770232.3564
0.001	0.08	2076582.109948089	2076581.609948024
0.002	0.08	1804577.6435439377	1804577.1435438704
0.003	0.08	3128538.601274943	3128538.1012749025
0.004	0.08	20958422.673359152	20958422.17335911
0.005	0.08	131693100.33309114	131693099.83309099
0.006	0.08	834622910.9825438	834622910.4825431
0.007	0.08	5425822060.21124	5425822059.711233
0.008	0.08	35958570928.973976	35958570928.47389
0.009	0.08	241434148573.93747	241434148573.43744
0.01	0.08	1636219600874.739	1636219600874.2395
0.001	0.09	2120355.403751262	2120354.9037512057
0.002	0.09	1965985.8308094537	1965985.3308093948
0.003	0.09	1958357.9117196195	1958357.4117195527
0.004	0.09	9724581.62462446	9724581.124624424
0.005	0.09	60051654.00280771	60051653.50280789
0.006	0.09	368360194.1997678	368360193.699767
0.007	0.09	2332999598.5364447	2332999598.036449
0.008	0.09	15186324489.1709	15186324488.670895
0.009	0.09	100661104935.44269	100661104934.94286
0.01	0.09	675254009980.578	675254009980.077
0.001	0.1	2146718.4633167963	2146717.963316733
0.002	0.1	2073051.843013011	2073051.3430129476
0.003	0.1	1865172.8412362419	1865172.3412361746
0.004	0.1	4026042.6563000088	4026042.15629998
